着順,枠番,馬番,馬名,性齢,負担,騎手,タイム,着差,馬体重,前走比,調教師,単勝人気
1,7,10,マヤノトップガン,牡4,,田原成貴,02:33.6,,,,坂口正大,6
2,2,2,タイキブリザード,牡5,,坂本勝美,02:33.9,2    ,,,藤沢和雄,5
3,1,1,サクラチトセオー,牡6,,小島太,02:34.0, 1/2,,,境勝太郎,4
4,6,8,ナリタブライアン,牡5,,武豊,02:34.1, 3/4,,,大久保正陽,2
5,6,7,ヒシアマゾン,牝5,,中舘英二,02:34.6,3    ,,,中野隆良,1
6,8,11,アイルトンシンボリ,牡7,,加藤和宏,02:34.7, 1/2,,,畠山重則,9
7,4,4,ロイスアンドロイス,牡6,,横山典弘,02:34.8, 3/4,,,松山康久,8
8,3,3,ゴーゴーゼット,牡5,,村本善之,02:35.4,3 1/2,,,新井仁,7
9,5,5,ナイスネイチャ,牡8,,松永昌博,02:35.4,ハナ,,,松永善晴,10
10,5,6,ジェニュイン,牡4,,岡部幸雄,02:35.5, 1/2,,,松山康久,3
11,8,12,アイリッシュダンス,牝6,,柴田善臣,02:35.7, 3/4,,,栗田博憲,12
12,7,9,イブキタモンヤグラ,牡4,,河内洋,02:35.8, 3/4,,,長浜博之,11




